LABEL;question;answer;context
OK;How many big taxpayers had mutual trust status in Slovenia in 2020?;11;rswho have appropriate internal tax controls in place. In 2020, only 11 bigtaxpayers had such a status in Slovenia.
OK;What does FATCA stand for?;Foreign Account Tax Compliance Act;FATCA, CRSThe United States Foreign Account Tax Compliance Act FATCA andthe Organisation for Economic Co-operation and Developmen
OK;What is the acronym for the Organization for Economic Co-operation and Developments Common Reporting Standard?;CRS;or Economic Co-operation and Developments CommonReporting Standard CRS are designed for greater transparency and toensure that an individu
ok;What does FATCA focus on?;tax evasion by US Persons;s from tax authorities will beunable to do so. FATCA focuses only on tax evasion by US Persons, whilstthe CRS targets offshore tax evasion based on an account hold
;What does CRS target offshore tax evasion?;based on an account holders countryof tax residence;ax evasion by US Persons, whilstthe CRS targets offshore tax evasion based on an account holders countryof tax residence. We have been compliant with FATCA and CRS since theireffective date
;How long have we been compliant?;since theireffective date;s countryof tax residence. We have been compliant with FATCA and CRS since theireffective date.Future challengesThe tax team faces new challenges to meet rapidly 
;Who faces new challenges to meet rapidly changing compliance obligations?;The tax team;iant with FATCA and CRS since theireffective date.Future challengesThe tax team faces new challenges to meet rapidly changing complianceobligations,
;What does the tax function add to the organisation?;value; it can clearly articulate the ways in which the tax function canadd value inside and outside of the organisation. 
;What is the goal of the ESG?;greater transparency;on and Developments CommonReporting Standard CRS are designed for greater transparency and toensure that an individual wishing to hide assets from tax au
;What must tax reporting processes incorporate?;increased automation;Tax reporting processes mustincorporate increased automation, better integrated data and processes, moreanalytic capabilities, an
;What will enable the tax function to deliver better quality output in less time?;increased automation;Tax reporting processes mustincorporate increased automation, better integrated data and processes, moreanalytic capabilities, an
;What is the Group Sustainability Report 2020 Contents 2020 Highlights Sustainability Framework Human Rights Regulation  Governance GRI Standards 2021 Roadmap GRI Standard Economic GRI Topic GRI Disclosure Value Comment GRI 202  Market Presence 202-2 Proportion of senior management hired from the local community a. Percentage of senior managers at significant locations of operation that are hired from where?;NLB;o contribute more strategically to organisational decision-making.35 NLB Group Sustainability Report 2020Contents 2020 Highlights Sustainabil
;What percentage of Slovenia is Republic of Serbia?;100%;94% Republic of Slovenia100% Republic of Serbia100% Republic of Kosovo100% Federation of Bosnia 
;Which percentage of Kosovo is Federation of Bosnia and Herzegovina?;100%;94% Republic of Slovenia100% Republic of Serbia100% Republic of Kosovo100% Federation of Bosnia and Herzegovina100% Rep
;Who prepares the tender invitation in the event that the pool of talents does not provide a suitable candidate?;NLB;ovide a suitable candidate for thevacant senior management position, NLBprepares the tender invitation. The invitationis published on the Ban
;Who prepares the tender invitation for the senior management position?;NLB;ovide a suitable candidate for thevacant senior management position, NLBprepares the tender invitation. The invitationis published on the Ban
;Where is the invitation published?;on the Banks website;tion, NLBprepares the tender invitation. The invitationis published on the Banks website and onthe premises of the National EmploymentOffice. Among the regi
;What is carried out among the registered candidates?;several selection interviews andselection tests;ational EmploymentOffice. Among the registered candidates,there are several selection interviews andselection tests carried out. A Fit  Properrating is also involved. 
OK;How long is the probationary period at the bank?;6-month;d candidatesare employed at the bank for an indefiniteperiod with a 6-month probationary period.b. The definition used for senior management
OK;What is the B-1 level of senior management?;General Managers directlysubordinated to Management Board;.b. The definition used for senior management Senior management General Managers directlysubordinated to Management Board B-1, thedirectors that are subordinated to B-2 levelGeneral Manag
OK;Who are the directors that are subordinated to B-2 level?;General Managers;.b. The definition used for senior management Senior management General Managers directlysubordinated to Management Board B-1, thedirectors that a
;Who has an individual contract of employment?;General Managers;agement Board B-1, thedirectors that are subordinated to B-2 levelGeneral Managers, other employees, whohave an individual contract of employmentAdvi
;What is the organisations geographical definition of local?;significantlocations of operation;enia and locationsof NLB Group Membersd. The definition used for significantlocations of operation..Significant NLB Group MembersGRI 205 Anti-corruption205-2 Com
;How is the definition used for significant locations of operation?;locations;cationsof NLB Group Membersd. The definition used for significantlocations of operation..Significant NLB Group MembersGRI 205 Anti-corrupti
;What is GRI 205  Anti-corruption 205-2?;Communication and training;ion..Significant NLB Group MembersGRI 205 Anti-corruption205-2 Communication and training aboutanti-corruption policies and proceduresa.Total number and pe
;What is the breakdown of the total number and percentage of governance body members that the organisations anti- corruption policies and procedures have been communicated to?;region;ion policies and procedures have beencommunicated to, broken down by region.
;What is Slovenias NLB d.d.?;NLB;SloveniaNLB d.d.NLB Group core membersNLB Group, non-core members /SEE regi
;What is Montenegros MB 3 100%, SB 7 100%?;Serbia; Group, non-core members /SEE regionNLB Group, core members- Serbia MB 3 100%, SB 0 0%.- BiH MB 6 100%, SB 5 50%.- Mo
;What percentage of the population of Kosovo is non-core members?;3 100%,;- Kosovo MB 3 100%, SB 0 0%.- North Macedonia MB 4 100%, SB 5 100%.NLB Grou
;In what year was the anti-corruption policy and procedures revised?;2020;nticorruption policy and procedures wererevised in in second half of 2020. Implementationin NLB d.d. 
;What company is in the process of the implementation of anti-corruption policies and procedures?;NLB LeaseGo;nti-corruptiontrainings and policies. The newly establishedcompany NLB LeaseGo is in the process of theimplementation anti-corruption policies and
;What is NLB Group committed to?;the same procedures;ng at NLB Group level.NLB Group, core members they are committed tothe same procedures as NLB d.d. anti-corruptiontrainings and policies. The newly estab
;What is the name of the newly established company?;NLB Cultural Heritage;The newly established companyNLB Cultural Heritage category of activitymuseum is not included in this report due to 
;What is NLB Cultural Heritage subject to?;conductrules of the NLB Group; in this report due to itsspecific nature although it is subject to conductrules of the NLB Group, part of which are alsoanti-corruption rules The completion of the
OK;When was the acquisition of Komercijalna Banka a.d. Beograd completed?;30.12.2020; Komercijalna Banka a.d. Beogradand its subsidiaries was finished on 30.12.2020,and is thus not included in the report not todistort the data prese
OK;When was Komercijalna Banka a.d. Beograd and its subsidiaries finished?;30.12.2020; Komercijalna Banka a.d. Beogradand its subsidiaries was finished on 30.12.2020,and is thus not included in the report not todistort the data prese
OK;When will implementation of NLB Group policies and procedures be implemented in KB?;2021;fically adopted for anticorruptionarea will be implemented in KB in 2021.NLB Group, non-core membersThe revision of anti-corruption policie
;When is the revision of anti-corruption policies and procedures planned to be implemented?;H1/2021;ti-corruption policies andprocedures is planned to be implementedin H1/2021. Members are informed duringthe adoption process of the document NLB
;Members are informed during the adoption process of what document?;NLBGroup Code of conduct;021. Members are informed duringthe adoption process of the document NLBGroup Code of conduct and NLB Grouppolicies and procedures on conflict of interestand ant
;What is the GRI Topic GRI Disclosure Value Comment GRI 205  Anti-corruption 205-2 Communication and training about anti- corruption policies and procedures?;The total number and percentage ofemployees;ation and training aboutanti-corruption policies and proceduresb. The total number and percentage ofemployees that the organisations anti-corruption policies and procedures have
OK;What percentage of current employees are NLB Group core members?;57,70%;y employee category and region.SloveniaNLB Group core members45 57.7% of current employeesNLB Group, non-core members /SEE regionNLB G
;How many non-core members are in Slovenia?;/;members45 57.7% of current employeesNLB Group, non-core members /SEE regionNLB Group, core banking members- North Macedonia 934 
;How many current employees of NLB Group are non-core members?;/;g members- North Macedonia 934 100%NLB Group, non-core members /Data should be interpreted taking regard tothe explanation under pre
OK;How many core banking members are in North Macedonia?;934;rs /SEE regionNLB Group, core banking members- North Macedonia 934 100%NLB Group, non-core members /Data should be interpreted taki
;What percentage of governance body members have received anti-corruption training?;Serbia;NLB Group, non-core members /SEE regionNLB Group, core members- Serbia MB 3 100%, SB 0 0%.
OK;How many NLB members have received anti-corruption training?;45;ownby employee category and region.SloveniaNLB Group core members45 57.7% of current employeesNLB Group, non-core members /SEE regio
;How many non-core members are in the NLB Group?;/;g members- North Macedonia 934 100%NLB Group, non-core members /Data should be interpreted taking regard tothe explanation under pre
OK;What percentage of Serbias core members are MB?;3;on-core members /SEE regionNLB Group, core members- Serbia MB 3 100%, SB 0 0%.
;What percentage of the population of Bosnia and Herzegovina is MB?;3 50%,;- BiH MB 3 50%, SB 5 50%.- Kosovo MB 3 100%, SB 0 0%.- North Macedonia M
;How much of the populace of North Macedonia is SB?;4 100%,; 5 50%.- Kosovo MB 3 100%, SB 0 0%.- North Macedonia MB 4 100%, SB 5 100%.NLB Group, non-core members /Data should be interpret
;Which group of non-core members should interpret the data?;NLB Group; 3 100%, SB 0 0%.- North Macedonia MB 4 100%, SB 5 100%.NLB Group, non-core members /Data should be interpreted taking regard tothe 
;How were MB members trained and informed on anti-corruption rules through the revision process of the ABC policy in 2020?;they also received training materials;ion rules through therevision process of the ABC policy in 2020,and they also received training materials onanti-corruption and anti-bribery, althoughno formal training was 
;Members of the Supervisory Board received tailor-made training on what topic?;anti-corruption and anti-bribery; the ABC policy in 2020,and they also received training materials onanti-corruption and anti-bribery, althoughno formal training was organised for themadditionally. Mem
;What type of training did the Supervisory Board receive on anti-corruption?;tailor-made;ised for themadditionally. Members of the Supervisory Boardreceived tailor-made training on this topic.e. Total number and percentage ofemployees
;What is the breakdown of the number of employees that have received anti-corruptcy training by employee category and region?;Total number and percentage;e Supervisory Boardreceived tailor-made training on this topic.e. Total number and percentage ofemployees that have received trainingon anti-corruption, broken d
;What percentage of current employees are NLB Group core members?;53%;SloveniaNLB d.d.MB /NLB Group core members42 53% of current employeesNLB Group, non-core members /SEE regionNLB G
;How many non-core members are there in North Macedonia?;671;e members /SEE regionNLB Group core members- North Macedonia 671 71.8%NLB Group, non-core members /See also explanation for NLB d
;What are the highlights of the Sustainability Framework Human Rights Regulation  Governance GRI Standards 2021 Roadmap GRI Topic GRI Disclosure Value Comment  Anti-corruption 205-3 Confirmed incidents of corruption and actions taken?;0;tal number and nature of confirmedincidents of corruptionNLB Group 0b. 
;What was the total number of confirmed incidents in which employees were dismissed or disciplined for corruption?;0;ch employees were dismissedor disciplined for corruption.NLB Group 0c. Total number of confirmed incidentswhen contracts with business
;What is the NLB Group?;0;ch employees were dismissedor disciplined for corruption.NLB Group 0c. Total number of confirmed incidentswhen contracts with business
;How many confirmed incidents were there when contracts with business partners were terminated or not renewed?;0;ch employees were dismissedor disciplined for corruption.NLB Group 0c. Total number of confirmed incidentswhen contracts with business
;What is the Environmental GRI Topic GRI Disclosure Value Comment GRI 301  Materials 301-1 Materials used by weight or volume?;weight or volumea; Disclosure Value CommentGRI 301  Materials 301-1 Materials used byweight or volumea. 
;What is the total weight of materials used to produce and package the organizations primary products and services during the reporting period?;volume;Total weight or volume of materialsthat are used to produce and packagethe organizations 
OK;How many A4 pages per employee per working day does NLB Group, core members use?;36,89;.17.70 A4 pages per employeeper working dayNLB Group, core members36.89 A4 pages per employeeper working daySEE region Sarajevo 55,35
OK;What type of paper is used per employee per working day?;A4; 25.81 Prishtina 24,42 Banja Luka40,53Data is related to used A4 paperper employee per working day.NLB d.d.
;How many employees are in Sarajevo?;55,35;36.89 A4 pages per employeeper working daySEE region Sarajevo 55,35 Beograd 25.81 Prishtina 24,42 Banja Luka40,53Data is relate
;What is the average number of employees in Beograd?;25,81;per employeeper working daySEE region Sarajevo 55,35 Beograd 25.81 Prishtina 24,42 Banja Luka40,53Data is related to used A4 pape
;How much paper was used in 2019?;27.17 pages;uced. Compared to 2019, the amountof paper used decreased again from27.17 pages to 17.70 pages in 2020.NLB Group, core membersCompared to previou
;What was the amount of paper used in 2020?;17.70 pages;o 2019, the amountof paper used decreased again from27.17 pages to 17.70 pages in 2020.NLB Group, core membersCompared to previous years, thequ
;How much did the number of pages used by core members decrease?;between 15% and 23%.;pared to previous years, thequantity by individual membersdecreased between 15% and 23%.GRI 302  Energy 302-1 Energy consumptionwithin the organizationa.
;What is the electricity consumption in kWh Slovenia?;1.602.223 kWh;h SloveniaNLB d.d.NLB Group, core membersSEE region Sarajevo 1.602.223 kWh Beograd 1.660.000 kWh Skopje4.200.000 kWh Prishtina 1.742.77
;How much lower is the reduction of electricity consumption than in the year 2019?;9,87%; we continued with thereduction of electricity consumption,which is 9,87% lower than in theyear 2019 12.338.373 kWh.NLB Group, core members
;What is the percentage in reduction of electricity consumption in NLB Group in 2019?;;
OK;What was the reduction in electricity consumption for the year 2020?;9,87%; we continued with thereduction of electricity consumption,which is 9,87% lower than in theyear 2019 12.338.373 kWh.NLB Group, core members
;What was the year 2019?;2020;76 kWh Podgica1.225.340 kWh Banja Luka3.269.283 kWhNLB d.d.In 2020 we continued with thereduction of electricity consumption,which is 
;How much did the volume decrease in Sarajevo and Belgrade compared to previous years?;between 6% and9.8%;ividualmembers, except for Sarajevo and Belgrade,where it decreased between 6% and9.8% based on measured consumption.
;How many tons of CO2 did NLB d.d. produce in 2020?;491,17;d.d.NLB Group, core members/ no dataIn 2020, NLB d.d. produced 491,17tons of CO2 from fuel consumptiontreasury vehicles and official veh
;What type of waste is being treated by outsourced waste company?;Paper and cardboard recycling;sposal methodThe waste is being treated byoutsourced waste company.Paper and cardboard recycling SloveniaNLB d.d.
;What is being treated by outsourced waste company?;The waste;RI 306  Effluents and Waste 306-2 Waste by type anddisposal methodThe waste is being treated byoutsourced waste company.Paper and cardboard rec
;Paper and cardboard recycling Slovenia NLB d.d;NLB Group, core members;GRI 305 - Emissions 305-1 Direct GHG emissions SloveniaNLB d.d.NLB Group, core members/ no dataIn 2020, NLB d.d. produced 491,17tons of CO2 from fuel co
;What is the name of the group that does not have a state-regulated and legally prescribed regulation that the various wastes that go to the landfill should also be quantitatively recorded?;NLB Group;NLB Group, core members/ no dataNLB d.dData for 2020NLB Group, core memb
;What are the core members of the NLB Group?;;ecorded.Municipal wastes SloveniaNLB d.d.NLB Group, core members/ no dataNLB d.dData for 2020NLB Group, core membersThe Group do
;What is the name of the group that does not have a state-regulated and legally prescribed regulation that the wastes that go to the landfill should also be quantitatively recorded?;NLB Group;NLB Group, core members/ no dataNLB d.dData for 2020NLB Group, core memb
;What does the supplier who carries out renovations take to the city landfill?;wasteconstruction material;velyrecorded. The supplier who carriesout the renovations takes the wasteconstruction material to the city landfill.
;What is the name of the group that does not have a state-regulated and legally prescribed regulation that the various wastes that go to the landfill should also be quantitatively recorded?;NLB Group;Wood SloveniaNLB d.d.NLB Group, core members/ no dataNLB d.dData for 2020NLB Group, core memb
;The supplier who carries out renovations takes the waste construction material to what city landfill?;landfill;d legally prescribed regulationthat the various wastes that go to thelandfill should also be quantitativelyrecorded. The supplier who carriesout 
;What does renovations take to the city landfill?;wasteconstruction material;velyrecorded. The supplier who carriesout the renovations takes the wasteconstruction material to the city landfill37 NLB Group Sustainability Report 2020Contents
;What does NLB Group Sustainability Report 2020 Contents 2020 Highlights Sustainability Framework Human Rights Regulation  Governance GRI Standards 2021 Roadmap What happened to business for Vedran Grebo and Samra omor?;Business ceased to exist;ework Human Rights Regulation  Governance GRI Standards 2021 RoadmapBusiness ceased to exist for Vedran Grebo and Samraomor, owners of the touristic agency Cool
;What did CoolTour Sarajevo stop doing during the COVID-19 pandemic?;borders closing;the touristic agency CoolTourSarajevo, as it absolutely stopped with borders closingduring the COVID-19 pandemic. The focus was shiftedto local and regi
;What was the focus shifted to through offering the hiking tours to Lukomir Village?;local and regional market;orders closingduring the COVID-19 pandemic. The focus was shiftedto local and regional market through offering ofthe hiking tours to Lukomir Village. 
;What project helped Vedran and Samra reach a wider audience?;HelpFrame;bly decreased their assets and requiredinvestments in promotion. The HelpFrame projectsignificantly helped Vedran and Samra reach a wideraudience 
;Vedran and Samra reach a wider audience and be recognised as an authentic provider of what?;touristic experiences; reach a wideraudience and be recognised as an authentic providerof touristic experiences locally and regionally.Grandfather of Samra omorCoolTour, Bosnia a
;Grandfather of Samran CoolTour, Bosnia and Herzegovina Shift to local and what market?;regional;er of Samra omorCoolTour, Bosnia and HerzegovinaShift to local andregional market38 NLB Group Sustainability Report 2020Contents 2020 Highligh
;What is the focus of the NLB Group Sustainability Report 2020?;Sustainability Framework Human Rights Regulation  Governance;rket38 NLB Group Sustainability Report 2020Contents 2020 Highlights Sustainability Framework Human Rights Regulation  Governance GRI Standards 2021 RoadmapGRI Topic GRI Disclosure Value CommentGRI
;GRI Standards 2021 Roadmap GRI Topic GRI Disclosure Value Comment GRI 306  Effluents and Waste Glass Slovenia NLB d.d.;NLB;Disclosure Value CommentGRI 306  Effluents and Waste Glass SloveniaNLB d.d.
;What is the name of the group that does not have a state-regulated and legally prescribed regulation that the various wastes that go to the landfill should also be quantitatively recorded?;NLB Group;NLB Group, core members/ no dataNLB d.dData for 2020NLB Group, core memb
;What does the supplier who carries out renovations take to the city landfill?;wasteconstruction material;velyrecorded. The supplier who carriesout the renovations takes the wasteconstruction material to the city landfillIron and steel SloveniaNLB d.d.NLB Group, co
;What is the name of the group that does not have a state- regulated and legally prescribed regulation that the various wastes that go to the landfill should also be quantitatively recorded?;NLB Group;NLB Group, core members/ no dataNLB d.dData for 2020NLB Group, core memb
;What does the supplier who carries out renovations take?;the wasteconstruction material;tativelyrecorded. The supplier who carriesout the renovations takes the wasteconstruction material to the city landfillIron and steel SloveniaNLB d.d.NLB Group, co
;What is the name of the company that carries out renovations?;NLB Group;NLB Group, core members/ no dataNLB d.dData for 2020NLB Group, core memb
;Where does the supplier take the waste construction material?;the city landfill; carriesout the renovations takes the wasteconstruction material to the city landfillIron and steel SloveniaNLB d.d.NLB Group, core members/ no dat
;What type of materials are used in the renovations in Slovenia?;concrete,brick and ceramics;kes the wasteconstruction material to the city landfillA mixture of concrete,brick and ceramicsSloveniaNLB d.d.
;What is the name of the group that does not have a state-regulated and legally prescribed regulation that the various wastes that go to the landfill should also be quantitatively recorded?;NLB Group;NLB Group, core members/ no dataNLB d.dData for 2020NLB Group, core memb
;What does the supplier who carries out renovations take to the city landfill?;wasteconstruction material;velyrecorded. The supplier who carriesout the renovations takes the wasteconstruction material to the city landfill.Electronic equipment SloveniaNLB d.d.NLB Gr
;Who takes the waste construction material to the city landfill?;The supplier who carriesout the renovations;The supplier who carriesout the renovations takes the wasteconstruction material to the city landfill.Hydrogen 
;What is the name of the group that does not have a state-regulated and legally prescribed regulation that the various wastes that go to the landfill should also be quantitatively recorded?;NLB Group;NLB d.d.NLB Group, core members/ no dataNLB d.dData for 2020NLB Group, core membersThe Group does not have a state-regulated and legally 
;What should also be quantitatively recorded?;various wastes that go to thelandfill;ot have a state-regulated and legally prescribed regulationthat the various wastes that go to thelandfill should also be quantitativelyrecorded. The supplier who carriesout 
;What is the name of the group that does not have a state-regulated and legally prescribed regulation that the various wastes that go to the landfill should also be quantitatively recorded?;NLB Group;Oil and fats SloveniaNLB d.d.NLB Group, core members/ no dataNLB d.dData for 2020NLB Group, core memb
;The supplier who carries out renovations takes the waste construction material to where?;the city landfill; carriesout the renovations takes the wasteconstruction material to the city landfill.Acumulators and batteries SloveniaNLB d.d.
;What is the name of the company that carries out renovations?;The supplier;astes that go to thelandfill should also be quantitativelyrecorded. The supplier who carriesout the renovations takes the wasteconstruction material
;Where is the waste construction material taken to?;city landfill;riesout the renovations takes the wasteconstruction material to the city landfill.Acumulators and batteries SloveniaNLB d.d.
;What group does not have a state-regulated and legally prescribed regulation that the various wastes that go to the landfill should also be quantitatively recorded?;NLB Group;NLB Group, core members/ no dataThe Group does not have a state-regulated
;The supplier who carries out renovations takes the waste construction material to where?;the city landfill; carriesout the renovations takes the wasteconstruction material to the city landfillGRI 307  Environmental Compliance 307-1 Non-compliance withenviron
;What is GRI 307  Environmental Compliance 307-1?;Non-compliance withenvironmental laws and regulations;terial to the city landfillGRI 307  Environmental Compliance 307-1 Non-compliance withenvironmental laws and regulationsNLB d.d. and NLB Group received no finesor penalties regarding failu
;What is GRI 307  Environmental Compliance?;Non-compliance withenvironmental laws and regulations;terial to the city landfillGRI 307  Environmental Compliance 307-1 Non-compliance withenvironmental laws and regulationsNLB d.d. and NLB Group received no finesor penalties regarding failu
;NLB d.d. and NLB Group received no fines or penalties for failure to comply with environmental laws?;All legal wastedisposal regulations are observed;nesor penalties regarding failure to complywith environmental laws. All legal wastedisposal regulations are observed.
;All legal waste disposal regulations are observed what?;no finesor penalties regarding failure to complywith environmental laws;thenvironmental laws and regulationsNLB d.d. and NLB Group received no finesor penalties regarding failure to complywith environmental laws. All legal wastedisposal regulations are observed.
OK;How many new employees did NLB have in 2020?;94;the reporting period, by agegroup, gender and region.NLB In total, 94 new employees in 2020.NLB Group In total, 307 new employeesin 2020
OK;How many employees were there in 2020 significant group members?;307; region.NLB In total, 94 new employees in 2020.NLB Group In total, 307 new employeesin 2020 significant group membersNLB d.d.
OK;What is the name of the Social GRI Topic?;GRI Disclosure Value Comment;SocialGRI Topic GRI Disclosure Value CommentGRI 401  Employment 401-1 New employee hiresand employee turnover
OK;How many new employees were employed by the Republic of Slovenia in 2020?;94; In total, 94 new employeesemployed by the Republic of Slovenia.NLB Group In tot
OK;What percentage of new hires were hired from local community?;97%;Republic of Slovenia.NLB Group In total, 307 newemployees in 2020.97% of new hires were hiredfrom local community. 42% weremen and 58% we
OK;How many employees departed from NLB d.d. in 2020?;162;the reporting period,by age group, gender and region.NLB In total, 162 employeesdeparted from NLB d.d. in 2020.
OK;How many employees departed from NLB Group in 2020?;382;NLB Group In total, 382 employeesdeparted from NLB Group in 2020.In total, 162 employees de
;What percentage of employees were younger than 30?;7%; in 2020.In total, 162 employees departed fromNLB d.d. in 2020. 11 7% were youngerthan 30, 59 36% were in the ageemployees were older t
;How many of the employees were older than 50 years old?;59;ployees departed fromNLB d.d. in 2020. 11 7% were youngerthan 30, 59 36% were in the ageemployees were older than 50 years old.
OK;How many employees departed from NLB Group significant members in 2020?;382;NLB Group In total, 382 employeesdeparted from NLB Groupsignificant members in 2020.50.3%
;What percentage of employees were in the age between 30 and 50 years old?;50,30%;, 382 employeesdeparted from NLB Groupsignificant members in 2020.50.3% were in the age between 30were older than 50 years old.36% were men
;How many were men and 64% were women?;36%;2020.50.3% were in the age between 30were older than 50 years old.36% were men and 64% were women.401-2 Benefits provided to full-timeem
;401-2 Benefits provided to full-time employees that are not provided to temporary or what?;part-time employees;provided to full-timeemployees that are not provided totemporary or part-time employeesPromote and protect the rights, obligationsand responsibilities aris
;Employees Promote and protect the rights, obligations and responsibilities arising from the employment relationship are regulated by what?;laws, collective agreements and internalregulations;onsibilities arising from theemployment relationship are regulated bylaws, collective agreements and internalregulations. 
OK;What are the rights of all employees determined by?;law, collectiveagreements and internal regulations;All employees have rightsas they are determined by law, collectiveagreements and internal regulations.401-3 Parental leavea. Total number of employees thatwere entit
;What is the total number of employees entitled to parental leave?;252; number of employees thatwere entitled to parental leave.NLB Group 252 employees NLB Group 220 women, 32 menb. 
;How many employees are in the NLB Group?;252; number of employees thatwere entitled to parental leave.NLB Group 252 employees NLB Group 220 women, 32 menb. 
;What was the total number of employees that took parental leave?;252;Total number of employeesthat took parental leave.NLB Group 252 employees NLB Group 220 women, 32 menc. Total number of employe
;How many employees returned to work after parental leave ended?;252;Total number of employeesthat took parental leave.NLB Group 252 employees NLB Group 220 women, 32 menc. Total number of employe
;When did some of the employees start parental leave and are still using it?;2020; Group 153 employees Some of the employees started parentalleave in 2020 and are still using it,they shall return to work in 2021.d. Total
;When will employees return to work?;2021;alleave in 2020 and are still using it,they shall return to work in 2021.d. Total number of employees thatreturned to work after parental 
;How many months after parental leave did employees remain employed?;12;returned to work after parental leaveended that were still employed 12months after their return to work.In general, all employees return t
;After parental leave ended, what is the general rule?;all employees return towork;, all employees return towork after parental leave endedIn general, all employees return towork after parental leave endedand are still employed 12 monthsafter the
;When do employees return to work after parental leave ends?;2021;alleave in 2020 and are still using it,they shall return to work in 2021.d. Total number of employees thatreturned to work after parental 
;How many months are employees still employed after their parental leave ended?;12;returned to work after parental leaveended that were still employed 12months after their return to work.In general, all employees return t
;What are the return to work and retention rates of employees that took parental leave?;e. ;e. Return to work and retention rates ofemployees that took parental lea
;What is the decision to work separation after parental leave voluntary and can be initiated by employee?;Return to work and retention rates;e. Return to work and retention rates ofemployees that took parental leave.The decision to work separatio
;What are the minimum notice periods regarding?;operational changes;- Labor/Management Relations402-1 Minimum notice periodsregarding operational changesNLB Group The way of cooperationwith the Labour unions and theWork
;What is the way of cooperation with the Labour unions fixed by?;collectiveagreements;operationwith the Labour unions and theWorkers council is fixed by collectiveagreements, the Act of workers andmanagement and the Agreement oncooperation b
;What is the deadline for informing the unions and the Workers council?;a minimum of 30days, eight days;r informingthe Unions and the Workers council isin most members in a minimum of 30days, eight days in NLB Bank Belgrade.
;How long is the minimum deadline for forming the Unions?;30days, eight days;he Unions and the Workers council isin most members in a minimum of 30days, eight days in NLB Bank Belgrade.
;What bank has a minimum deadline of eight days?;NLB Bank Belgrade;rs council isin most members in a minimum of 30days, eight days in NLB Bank Belgrade.
;How are organisational changes communicated in NLB Bank Banja Luka?;before adoption;In NLB Bank Banja Luka, organisationalchanges are communicatedbefore adoption, the minimumnotice period is not defined.GRI 403 - OccupationalHea
;What is not defined in GRI 403?;minimumnotice period;ja Luka, organisationalchanges are communicatedbefore adoption, the minimumnotice period is not defined.GRI 403 - OccupationalHealth and Safety403-1 Worke
;Why has the health and safety management system been implemented in NLB Group?;legal requirements;safetymanagement system has beenimplemented in NLB Group becauseof legal requirements. OccupationalHealth and safety requirements aredetermined in The La
;What is determined in The Laws and regulations on Safety and Health at Work?;OccupationalHealth and safety requirements;stem has beenimplemented in NLB Group becauseof legal requirements. OccupationalHealth and safety requirements aredetermined in The Laws and regulationson Safety and Health at Wo
;What is a description of the scope of workers, activities, and workplaces covered by the occupational health and safety management system?;any workers, activities,or workplaces are not covered;fety management system,and an explanation of whether and,if so, why any workers, activities,or workplaces are not covered.In accordance with laws and regulationsNLB Group has implementedhe
;In accordance with laws and regulations, what has NLB Group implemented on all workplaces that are controlled by the organisation?;health and safety managementsystem;red.In accordance with laws and regulationsNLB Group has implementedhealth and safety managementsystem on all workplaces that arecontrolled by the organisation.b. 
;What is a safety management system on all workplaces that are controlled by the organisation?;health and safety managementsystem;red.In accordance with laws and regulationsNLB Group has implementedhealth and safety managementsystem on all workplaces that arecontrolled by the organisation.b. 
;What is the scope of workers, activities, and workplaces covered by the occupational health and safety management system?;any workers,activities, or workplaces are not covered;fetymanagement system, and an explanationof whether and, if so, why any workers,activities, or workplaces are not covered.Disclosure 403-2 Hazardidentification, risk assessment,and inciden
;What is a description of the processes used to identify work-related hazards and assess risks on a job?;Disclosure 403-2;d, if so, why any workers,activities, or workplaces are not covered.Disclosure 403-2 Hazardidentification, risk assessment,and incident investigationa.
;What are the processes used to identify work-related hazards and assess risks on a routine and non-routine basis?;hierarchy of controls;and assess risks on a routine andnon-routine basis, and to apply thehierarchy of controls in order toeliminate hazards and minimise risks.a. 
;What is applied to eliminate hazards and minimise risks?;thehierarchy of controls;rdsand assess risks on a routine andnon-routine basis, and to apply thehierarchy of controls in order toeliminate hazards and minimise risks.a. 
;What is carried out according to a certain methodology and onsite inspection of workplaces?;risk assessment;lth and safety at work and theSafety Statement with risk assessment,risk assessment is carried out accordingby a certain methodology and onsiteinspecti
;What measures are taken to reduce exposure to occupational emissions?;Regular training in safety andhealth at work;ces. Measures aretaken to reduce exposure to occupationalemissions. Regular training in safety andhealth at work is provided, appropriatepersonal protective equipment is providedan
;What is provided at work?;Regular training in safety andhealth;ces. Measures aretaken to reduce exposure to occupationalemissions. Regular training in safety andhealth at work is provided, appropriatepersonal protective equipment is pro
;What are records of at work kept?;injuries;dand also regular periodic inspections ofwork equipment. Records of injuries atwork are kept, which include researchof every injury and the adop
;How are measures taken to reduce the occurrence of injuries?;to reduce exposure to occupationalemissions;n methodology and onsiteinspection of workplaces. Measures aretaken to reduce exposure to occupationalemissions. Regular training in safety andhealth at work is provided, appropria
;What is performed in addition to the technical risk assessment?;health risk assessment;in addition to the technical riskassessment, a health risk assessment isalso performed. Through joint measures,we provide to employees th
;Through joint measures, we provide to employees the safest and healthiest jobs as possible?;professionalworkers;the safestand healthiest jobs as possible.i. In some members employ professionalworkers for safety and health at work,who, together with the help of manager
